year,industry,employee,regular_pay,irregular_pay,avg_working_hour
90,醫療保健服務業,182598,45373,9111,178.0
90,藝術、娛樂及休閒服務業,29017,26196,2142,191.6
90,其他服務業,76365,27194,2733,199.9
90,食品製造業,88283,31445,6535,185.7
90,飲料及菸草製造業,16670,37035,14225,176.1
90,紡織業,146697,27703,4973,194.0
90,成衣及服飾品製造業,69304,22134,3079,185.6
90,皮革、毛皮及其製品製造業,41659,26266,4503,194.6
90,木竹製品製造業,23844,24929,3324,185.4
90,紙漿、紙及紙製品製造業,54860,28777,8122,187.9
90,印刷及資料儲存媒體複製業,58903,33290,8399,191.4
90,石油及煤製品製造業,12469,59401,22999,177.7
90,化學材料製造業,68649,39770,16056,183.1
90,化學製品製造業,46655,34429,10705,179.6
90,藥品及醫用化學製品製造業,20028,32963,7029,174.8
90,橡膠製品製造業,33054,27471,5537,193.4
90,塑膠製品製造業,151321,30523,6728,190.8
90,非金屬礦物製品製造業,78558,29193,5963,190.4
90,基本金屬製造業,83376,35984,11668,189.5
90,金屬製品製造業,258208,28841,6285,189.2
90,電子零組件製造業,359544,32751,7115,178.3
90,電腦、電子產品及光學製品製造業,182829,35500,6554,179.1
90,電力設備製造業,132600,30022,6479,181.7
90,機械設備製造業,158475,30107,6951,184.1
90,汽車及其零件製造業,64119,35678,8613,178.5
90,其他運輸工具及其零件製造業,60259,34651,7664,174.9
90,家具製造業,35453,25601,4406,178.6
90,其他製造業,75605,28417,5002,176.4
90,產業用機械設備維修及安裝業,27027,31351,6011,182.0
91,服務業部門,2888364,37138,6967,177.2
91,製造業,2318803,31537,6898,187.5
91,批發及零售業,1356986,33961,5191,177.4
91,運輸及倉儲業,264397,38220,8289,180.9
91,住宿及餐飲業,149911,23237,2450,175.7
91,資訊及通訊傳播業,150966,48649,10590,169.5
91,金融及保險業,343749,49546,16157,168.6
91,不動產業,56363,35244,5652,174.2
91,專業、科學及技術服務業,151891,40705,4967,175.3
91,支援服務業,120358,30920,3685,187.2
91,醫療保健服務業,188293,45173,8668,179.2
91,藝術、娛樂及休閒服務業,29922,26193,1695,191.5
91,其他服務業,75528,26998,2238,199.9
91,食品製造業,89148,31151,6312,185.5
91,飲料及菸草製造業,15602,37360,14306,177.9
91,紡織業,139370,27891,4500,196.1
91,成衣及服飾品製造業,63921,23447,3287,184.6
91,皮革、毛皮及其製品製造業,38397,26961,4682,195.1
91,木竹製品製造業,21660,25473,3417,184.6
91,紙漿、紙及紙製品製造業,52748,28180,6568,191.2
91,印刷及資料儲存媒體複製業,58707,31536,6486,191.6
91,石油及煤製品製造業,11816,59395,21282,179.5
91,化學材料製造業,65757,40828,12995,182.3
91,化學製品製造業,45695,35213,9118,181.4
91,藥品及醫用化學製品製造業,20060,32824,5678,173.2
91,橡膠製品製造業,32427,28150,5967,198.7
91,塑膠製品製造業,148590,30855,6905,189.2
91,非金屬礦物製品製造業,76240,29450,6528,194.9
91,基本金屬製造業,81222,35900,9587,194.2
91,金屬製品製造業,261539,28692,6050,193.1
91,電子零組件製造業,372180,33807,7558,184.0
91,電腦、電子產品及光學製品製造業,191263,35664,6942,182.4
91,電力設備製造業,124879,29864,7044,186.1
91,機械設備製造業,155572,30002,6773,188.2
91,汽車及其零件製造業,63400,35350,9432,187.7
91,其他運輸工具及其零件製造業,54617,32831,6533,183.2
91,家具製造業,32917,25500,3272,182.3
91,其他製造業,75046,28818,5167,180.4
91,產業用機械設備維修及安裝業,26030,30887,5817,185.1
92,服務業部門,2976979,36892,7261,176.6
92,製造業,2372733,31942,7607,188.2
92,批發及零售業,1373831,34029,5581,176.0
92,運輸及倉儲業,259720,37982,7952,179.2
92,住宿及餐飲業,161598,22958,1993,177.0
92,資訊及通訊傳播業,156404,48176,12116,168.7
92,金融及保險業,349188,48583,16062,168.7
92,不動產業,58520,35053,5378,178.1
92,專業、科學及技術服務業,157317,40982,6447,176.5
92,支援服務業,142752,29855,3016,189.2
92,醫療保健服務業,201367,45405,10297,177.0
92,藝術、娛樂及休閒服務業,34265,25935,1731,188.6
92,其他服務業,82017,26924,2023,197.3
92,食品製造業,89918,30963,5822,186.3
92,飲料及菸草製造業,15389,38313,12921,179.8
92,紡織業,134210,28221,4718,198.1
92,成衣及服飾品製造業,61664,23607,3198,182.8
92,皮革、毛皮及其製品製造業,37365,27519,5195,190.8
92,木竹製品製造業,21336,26464,3684,189.2
92,紙漿、紙及紙製品製造業,52908,28288,5928,191.8
92,印刷及資料儲存媒體複製業,59408,30327,5371,190.1
92,石油及煤製品製造業,11644,59062,23574,182.7
92,化學材料製造業,63620,41862,15678,181.1
92,化學製品製造業,45732,35709,7771,180.6
92,藥品及醫用化學製品製造業,19943,33264,5777,174.8
92,橡膠製品製造業,33078,28124,5853,197.8
92,塑膠製品製造業,148369,30886,7408,188.5
92,非金屬礦物製品製造業,74678,29912,7463,196.1
92,基本金屬製造業,83261,35846,13152,193.9
92,金屬製品製造業,276641,29121,7369,194.3
92,電子零組件製造業,399464,34703,8294,185.5
92,電腦、電子產品及光學製品製造業,199484,36009,7626,182.7
92,電力設備製造業,123835,30175,6968,186.3
92,機械設備製造業,161396,30050,7603,189.5
92,汽車及其零件製造業,68209,36147,11384,189.9
92,其他運輸工具及其零件製造業,56433,32742,7996,186.3
92,家具製造業,31540,25864,3411,181.3
92,其他製造業,76653,29475,5633,180.1
92,產業用機械設備維修及安裝業,26555,31173,6501,186.1
93,服務業部門,3124988,36975,7412,178.7
93,製造業,2461369,32470,8187,190.6
93,批發及零售業,1409035,34240,5579,180.1
93,運輸及倉儲業,260850,38299,8583,182.5
93,住宿及餐飲業,189173,22980,1833,169.2
93,資訊及通訊傳播業,160789,48202,11215,169.4
93,金融及保險業,359774,49040,17631,169.1
93,不動產業,63853,34977,4804,185.4
93,專業、科學及技術服務業,168149,41477,7834,178.3
93,支援服務業,168261,29625,3082,190.5
93,醫療保健服務業,217713,45753,9588,176.3
93,藝術、娛樂及休閒服務業,40515,27006,2656,185.2
93,其他服務業,86876,26733,2688,199.9
93,食品製造業,87897,30516,6262,191.4
93,飲料及菸草製造業,15405,38403,11976,179.2
93,紡織業,132287,28771,4914,200.4
93,成衣及服飾品製造業,58678,24997,2981,185.0
93,皮革、毛皮及其製品製造業,37162,27992,5137,198.0
93,木竹製品製造業,21388,26363,4386,195.3
93,紙漿、紙及紙製品製造業,52446,28861,7014,194.7
93,印刷及資料儲存媒體複製業,59450,30239,6594,195.3
93,石油及煤製品製造業,12217,59615,19092,182.3
93,化學材料製造業,62547,43130,14126,184.5
93,化學製品製造業,46301,36534,9999,179.3
93,藥品及醫用化學製品製造業,19882,33678,7603,180.6
93,橡膠製品製造業,34117,28261,7213,199.7
93,塑膠製品製造業,151121,30605,5956,189.9
93,非金屬礦物製品製造業,73057,30806,8517,196.9
93,基本金屬製造業,85632,36109,19621,196.0
93,金屬製品製造業,292007,29659,6354,196.2
93,電子零組件製造業,452273,35289,9474,187.2
93,電腦、電子產品及光學製品製造業,206131,36133,7628,184.2
93,電力設備製造業,122411,30730,6945,188.5
93,機械設備製造業,170771,30558,8217,193.3
93,汽車及其零件製造業,72939,37048,14335,190.8
93,其他運輸工具及其零件製造業,59005,32980,8277,194.6
93,家具製造業,30476,26071,3716,184.3
93,其他製造業,77971,30366,7183,183.2
93,產業用機械設備維修及安裝業,27798,31641,6984,190.0
94,服務業部門,3267894,36963,7318,177.4
94,製造業,2479476,33022,8836,188.8
94,批發及零售業,1455376,33983,5562,177.6
94,運輸及倉儲業,259753,38915,9598,180.8
94,住宿及餐飲業,212767,23267,1854,174.0
94,資訊及通訊傳播業,165339,48469,12912,168.5
94,金融及保險業,369109,49456,15657,168.0
94,不動產業,70602,34558,4261,186.1
94,專業、科學及技術服務業,177111,42148,8742,175.5
94,支援服務業,191679,29517,3298,188.9
94,醫療保健服務業,233022,46486,9117,176.0
94,藝術、娛樂及休閒服務業,44706,27828,2070,184.5
94,其他服務業,88430,26772,3612,199.5
94,食品製造業,86965,30428,6272,191.9
94,飲料及菸草製造業,14958,39816,14413,176.6
94,紡織業,124517,28953,5387,195.3
94,成衣及服飾品製造業,54270,26019,4197,179.5
94,皮革、毛皮及其製品製造業,35325,29202,4534,195.2
94,木竹製品製造業,21146,26703,4508,190.5
94,紙漿、紙及紙製品製造業,51152,28798,6522,193.9
94,印刷及資料儲存媒體複製業,59196,30754,6961,195.5
94,石油及煤製品製造業,12735,61042,29383,180.0
94,化學材料製造業,60536,44087,18530,181.8
94,化學製品製造業,45646,36550,11888,178.2
94,藥品及醫用化學製品製造業,19947,32808,8521,180.5
94,橡膠製品製造業,33597,29356,6748,196.5
94,塑膠製品製造業,147053,30458,5394,187.2
94,非金屬礦物製品製造業,71491,31093,8289,195.2
94,基本金屬製造業,89138,36399,20361,195.0
94,金屬製品製造業,297709,29261,6403,193.9
